,rank_order,rank,name,scores_overall,scores_overall_rank,scores_resources,scores_resources_rank,scores_engagement,scores_engagement_rank,scores_outcomes,scores_outcomes_rank,scores_environment,scores_environment_rank,nid,location,stats_fees_oos,stats_board,stats_salary,Chemical Engineering,Architecture,Psychology,General Engineering,Sociology,Electrical & Electronic Engineering,"Geology, Environmental, Earth & Marine Sciences",Computer Science,Chemistry,Accounting & Finance,"Art, Performing Arts & Design",Biological Sciences,Politics & International Studies (incl Development Studies),Civil Engineering,Agriculture & Forestry,Law,"Languages, Literature & Linguistics",Communication & Media Studies,Mechanical & Aerospace Engineering,Economics & Econometrics,Medicine & Dentistry,Physics & Astronomy,Geography,"History, Philosophy & Theology",Mathematics & Statistics,Business & Management,Other Health,Archaeology,Education,Veterinary Science,Sport Science
727,728,> 600,Olivet Nazarene University,30.3-43.2,728,-,654,16.1,301,-,682,-,697,592421,Illinois,"$34,940","$7,900","$39,067",0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1
728,729,> 600,Oral Roberts University,30.3-43.2,729,-,628,17.7,8,-,801,7.2,110,594062,Oklahoma,"$26,792","$8,780","$35,867",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,730,> 600,Our Lady of the Lake University,30.3-43.2,730,13.8,377,-,461,-,794,6.7,160,594671,Texas,"$28,192","$9,489","$38,367",0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1
730,731,> 600,Palm Beach Atlantic University,30.3-43.2,731,-,476,16.1,302,-,727,-,418,592184,Florida,"$29,950","$9,660","$39,033",0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0
731,732,> 600,Penn State Altoona,30.3-43.2,732,-,752,-,689,-,542,-,593,594296,Pennsylvania,"$23,692","$11,280","$48,767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732,733,> 600,Penn State Behrend,30.3-43.2,733,-,708,-,722,-,531,-,508,594287,Pennsylvania,"$23,692","$11,280","$48,767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
733,734,> 600,Pennsylvania College of Technology,30.3-43.2,734,-,477,-,723,-,714,-,751,595034,Pennsylvania,"$23,280","$11,340","$41,167",0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
734,735,> 600,University of Pittsburgh-Bradford,30.3-43.2,735,-,705,-,754,-,553,-,580,594332,Pennsylvania,"$25,144","$9,058","$51,133",0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0
735,736,> 600,University of Pittsburgh-Greensburg,30.3-43.2,736,-,786,-,755,-,562,-,634,594335,Pennsylvania,"$25,114","$10,270","$51,133",0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0
736,737,> 600,University of Pittsburgh-Johnstown,30.3-43.2,737,-,778,-,791,-,511,-,741,594338,Pennsylvania,"$25,120","$9,660","$51,133",0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
737,738,> 600,Plymouth State University,30.3-43.2,738,-,697,15.8,393,-,758,-,761,593366,New Hampshire,"$22,230","$10,960","$39,133",0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1
738,739,> 600,Point Park University,30.3-43.2,739,-,562,-,462,-,761,-,509,594341,Pennsylvania,"$30,130","$11,100","$36,500",0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0
739,740,> 600,Radford University,30.3-43.2,740,-,655,-,724,-,491,-,521,594827,Virginia,"$22,709","$8,522","$42,500",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0
740,741,> 600,Rhode Island College,30.3-43.2,741,-,610,16.8,129,-,664,5.6,305,594416,Rhode Island,"$21,289","$11,536","$40,033",0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0
741,742,> 600,SUNY Alfred State College,30.3-43.2,742,-,679,-,757,-,573,-,564,593681,New York,"$8,327","$12,250","$40,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742,743,> 600,SUNY Farmingdale State College,30.3-43.2,743,-,753,-,781,-,452,6.4,197,593687,New York,"$17,726","$12,892","$48,967",0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0
743,744,> 600,SUNY Purchase College,30.3-43.2,744,-,612,-,692,-,683,5.6,306,593726,New York,"$18,148","$13,334","$35,133",0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0
744,745,> 600,Saginaw Valley State University,30.3-43.2,745,-,709,16.2,270,-,783,5.0,386,593093,Michigan,"$23,063","$9,465","$38,100",0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1
745,746,> 600,The College of Saint Rose,30.3-43.2,746,-,516,-,775,-,574,-,449,593657,New York,"$31,654","$12,356","$43,033",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0
746,747,> 600,Salem State University,30.3-43.2,747,-,670,-,577,-,635,6.1,239,592967,Massachusetts,"$16,706","$13,000","$41,633",0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1
747,748,> 600,Savannah College of Art and Design,30.3-43.2,748,-,693,-,607,-,593,5.3,342,131299,Georgia,"$36,410","$14,244","$35,600",0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
748,749,> 600,Shippensburg University,30.3-43.2,749,-,680,-,464,-,588,-,510,594362,Pennsylvania,"$20,186","$11,656","$44,667",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1
749,750,> 600,Slippery Rock University,30.3-43.2,750,-,732,-,608,-,598,-,607,594365,Pennsylvania,"$14,193","$10,312","$40,067",0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0
750,751,> 600,University of South Alabama,30.3-43.2,751,-,558,-,528,-,750,6.2,228,591806,Alabama,"$15,324","$7,490","$37,367",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
751,752,> 600,University of South Dakota,30.3-43.2,752,-,445,16.3,242,-,742,-,690,131409,South Dakota,"$12,019","$8,030","$40,533",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1
752,753,> 600,Southeast Missouri State University,30.3-43.2,753,-,727,16.2,276,-,736,-,484,593276,Missouri,"$12,720","$8,715","$36,333",0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
753,754,> 600,Southeastern Louisiana University,30.3-43.2,754,-,792,-,609,-,660,-,433,592736,Louisiana,"$20,631","$8,854","$36,000",0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0
754,755,> 600,Southern University and A&M College,30.3-43.2,755,-,800,-,465,-,739,6.1,240,592739,Louisiana,"$18,080","$9,440","$33,867",0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0
755,756,> 600,Southern Connecticut State University,30.3-43.2,756,-,484,-,711,-,689,6.1,241,592118,Connecticut,"$23,226","$12,432","$42,900",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0
756,757,> 600,University of Southern Indiana,30.3-43.2,757,-,712,16.2,278,-,753,-,699,592511,Indiana,"$18,626","$8,838","$35,700",0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1
757,758,> 600,University of Southern Maine,30.3-43.2,758,-,567,-,610,-,751,-,709,592793,Maine,"$20,594","$9,774","$37,933",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
758,759,> 600,Southern Utah University,30.3-43.2,759,-,740,16.0,326,-,512,-,674,594749,Utah,"$20,288","$7,067","$38,767",0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0
759,760,> 600,St Cloud State University,30.3-43.2,760,-,741,15.9,362,-,636,5.2,357,593153,Minnesota,"$16,462","$8,558","$42,900",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
760,761,> 600,University of St Francis,30.3-43.2,761,-,645,-,491,-,594,5.3,345,592442,Illinois,"$31,470","$9,358","$48,633",0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0
761,762,> 600,Stephen F. Austin State University,30.3-43.2,762,-,733,16.3,245,-,706,5.1,368,594692,Texas,"$17,676","$8,868","$40,333",0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1
762,763,> 600,University of Tampa,30.3-43.2,763,-,737,-,561,17.0,381,5.0,390,592202,Florida,"$28,426","$10,502","$46,100",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0
763,764,> 600,The University of Tennessee-Chattanooga,30.3-43.2,764,-,618,-,657,-,647,-,498,594572,Tennessee,"$24,782","$9,100","$37,100",1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1
764,765,> 600,The University of Tennessee-Martin,30.3-43.2,765,-,547,-,532,-,728,-,554,594575,Tennessee,"$14,996","$5,976","$35,600",0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0
